"pallet","code","number","ctr","ordernr","resultaat"
"1",4482,27,"TCLU 1293323",50576,"RAS"
"1",4488,6,"TCLU 1293323",50576,"RAS"
"1",4382,3,"TCLU 1293323",50576,"RAS"
"1",1353,4,"TCLU 1293323",50576,"RAS"
"1",3642,8,"TCLU 1293323",50576,"RAS"
"TL1",4285,6,"TCLU 1293323",50576,"RAS"
"2",3642,5,"TCLU 1293323",50576,"RAS"
"2",4285,9,"TCLU 1293323",50576,"RAS"
"2",1616,16,"TCLU 1293323",50576,"RAS"
"2",1619,4,"TCLU 1293323",50576,"RAS"
"2",1618,6,"TCLU 1293323",50576,"contaminé"
"2",2740,4,"TCLU 1293323",50576,"RAS"
"TL2",1325,10,"TCLU 1293323",50576,"RAS"
"3",1325,12,"TCLU 1293323",50576,"RAS"
"3",3647,6,"TCLU 1293323",50576,"RAS"
"3",3882,12,"TCLU 1293323",50576,"RAS"
"3",1528,11,"TCLU 1293323",50576,"RAS"
"3",3980,7,"TCLU 1293323",50576,"RAS"
"TL3",4674,6,"TCLU 1293323",50576,"RAS"
"4",4674,6,"TCLU 1293323",50576,"RAS"
"TL4",3993,48,"TCLU 1293323",50576,"RAS"
"5",3993,15,"TCLU 1293323",50576,"RAS"
"5",4435,15,"TCLU 1293323",50576,"RAS"
"5",3980,1,"TCLU 1293323",50576,"RAS"
"5",4564,11,"TCLU 1293323",50576,"RAS"
"TL5",3635,12,"TCLU 1293323",50576,"RAS"
"6",4564,10,"TCLU 1293323",50576,"RAS"
"6",2760,1,"TCLU 1293323",50576,"RAS"
"6",3635,10,"TCLU 1293323",50576,"RAS"
"6",2740,3,"TCLU 1293323",50576,"RAS"
"6",1617,8,"TCLU 1293323",50576,"RAS"
"6",1621,4,"TCLU 1293323",50576,NA
"6",1540,8,"TCLU 1293323",50576,"RAS"
"6",3648,4,"TCLU 1293323",50576,"RAS"
"TL6",4498,6,"TCLU 1293323",50576,"RAS"
"7",3648,3,"TCLU 1293323",50576,"RAS"
"7",1324,3,"TCLU 1293323",50576,"RAS"
"7",4647,6,"TCLU 1293323",50576,"RAS"
"7",1540,3,"TCLU 1293323",50576,"RAS"
"7",4484,11,"TCLU 1293323",50576,"RAS"
"7",4639,19,"TCLU 1293323",50576,"RAS"
"TL7",4517,9,"TCLU 1293323",50576,"RAS"
"8",1290,28,"TCLU 1293323",50576,"RAS"
"8",4487,5,"TCLU 1293323",50576,"RAS"
"8",4658,11,"TCLU 1293323",50576,"RAS"
"TL8",4639,10,"TCLU 1293323",50576,"RAS"
"9",4517,17,"TCLU 1293323",50576,"RAS"
"9",9616,12,"TCLU 1293323",50576,"RAS"
"9",1614,17,"TCLU 1293323",50576,"RAS"
"TL9",1326,8,"TCLU 1293323",50576,"RAS"
"10",1326,10,"TCLU 1293323",50576,"RAS"
"10",4647,6,"TCLU 1293323",50576,"RAS"
"10",1327,11,"TCLU 1293323",50576,"RAS"
"10",4499,9,"TCLU 1293323",50576,"contaminé"
"10",4564,4,"TCLU 1293323",50576,"RAS"
"TL10",3994,14,"TCLU 1293323",50576,NA
"11",4674,8,"TCLU 1293323",50576,"RAS"
"11",4609,12,"TCLU 1293323",50576,"RAS"
"11",4348,5,"TCLU 1293323",50576,"RAS"
"11",4587,8,"TCLU 1293323",50576,"RAS"
"11",4495,7,"TCLU 1293323",50576,"RAS"
"11",4487,5,"TCLU 1293323",50576,"RAS"
"11",4684,3,"TCLU 1293323",50576,"RAS"
"TL11",4626,6,"TCLU 1293323",50576,NA
"12",3994,6,"TCLU 1293323",50576,NA
"12",4684,8,"TCLU 1293323",50576,"RAS"
"12",1621,12,"TCLU 1293323",50576,NA
"12",2762,5,"TCLU 1293323",50576,"RAS"
"12",4625,4,"TCLU 1293323",50576,NA
"TL12",4456,19,"TCLU 1293323",50576,NA
"13",3875,16,"TCLU 1293323",50576,NA
"13",4456,12,"TCLU 1293323",50576,NA
"13",3897,2,"TCLU 1293323",50576,NA
"13",4347,3,"TCLU 1293323",50576,"RAS"
"TL13",4445,21,"TCLU 1293323",50576,"RAS"
"14",4446,5,"TCLU 1293323",50576,"RAS"
"14",4445,21,"TCLU 1293323",50576,"RAS"
"14",4469,21,"TCLU 1293323",50576,"RAS"
"TL14",4681,7,"TCLU 1293323",50576,"RAS"
"15",4681,12,"TCLU 1293323",50576,"RAS"
"15",4469,1,"TCLU 1293323",50576,"RAS"
"15",4609,7,"TCLU 1293323",50576,"RAS"
"15",4349,2,"TCLU 1293323",50576,"RAS"
"15",4282,8,"TCLU 1293323",50576,"RAS"
"TL15",4431,24,"TCLU 1293323",50576,"RAS"
"16",4486,9,"TCLU 1293323",50576,"RAS"
"16",4586,4,"TCLU 1293323",50576,"RAS"
"16",4489,9,"TCLU 1293323",50576,"RAS"
"TL16",3881,32,"TCLU 1293323",50576,"RAS"
"17",4674,10,"TCLU 1293323",50576,"RAS"
"17",4609,12,"TCLU 1293323",50576,"RAS"
"17",4431,17,"TCLU 1293323",50576,"RAS"
"TL17",1309,15,"TCLU 1293323",50576,"RAS"
"18",1309,4,"TCLU 1293323",50576,"RAS"
"18",4631,10,"TCLU 1293323",50576,"RAS"
"18",1627,10,"TCLU 1293323",50576,"RAS"
