"pallet","code","number","ctr","ordernr","week"
"15",4691,10,"TLLU 1226597",51232,11
"17",4691,7,"TLLU 1226597",51232,11
"2",3893,20,"SUDU 5192435",51233,11
"5",1621,15,"SUDU 5192435",51233,11
"10",4433,27,"SUDU 5192435",51233,11
"TL11",4433,10,"SUDU 5192435",51233,11
"12",4599,5,"SUDU 5192435",51233,11
"TL12",4433,6,"SUDU 5192435",51233,11
"13",4433,3,"SUDU 5192435",51233,11
"19",1338,7,"SUDU 5192435",51233,11
"2",3909,3,"HLBU 9020086",51238,11
"2",3994,4,"HLBU 9020086",51238,11
"2",3656,3,"HLBU 9020086",51238,11
"15",4600,2,"HLBU 9020086",51238,11
"3",3656,4,"GESU 9483244",51279,11
"4",3994,10,"GESU 9483244",51279,11
"4",3909,7,"GESU 9483244",51279,11
"16",4600,3,"GESU 9483244",51279,11
"18",4506,7,"MCAU 8562170",51235,11
