"","x"
"1",1269
"2",9843
"3",1486
"4",1487
"5",1488
"6",2807
"7",1625
"8",1279
"9",1280
"10",9735
"11",3634
"12",9757
"13",9763
"14",1492
"15",3875
"16",3878
"17",3894
"18",3895
"19",3896
"20",4283
"21",3897
"22",3898
"23",4500
"24",4282
"25",3989
"26",3899
"27",3988
"28",1494
"29",3681
"30",1593
"31",1284
"32",2737
"33",2738
"34",9603
"35",9895
"36",1525
"37",1518
"38",1309
"39",1311
"40",1314
"41",1499
"42",2748
"43",3877
"44",2806
"45",1627
"46",3996
"47",3639
"48",1316
"49",1535
"50",1600
"51",2805
"52",3986
"53",2762
"54",1528
"55",NA
"56",3882
"57",3980
"58",3981
"59",3982
"60",3983
"61",3984
"62",3985
"63",1614
"64",1350
"65",1325
"66",1324
"67",1326
"68",1327
"69",1345
"70",1540
"71",3647
"72",3648
"73",1628
"74",1290
"75",1519
"76",3679
"77",3680
"78",3893
"79",3901
"80",3900
"81",4506
"82",3997
"83",3998
"84",1242
"85",1338
"86",3605
"87",9606
"88",9613
"89",9616
"90",1523
"91",1524
"92",1612
"93",1615
"94",2761
"95",2804
"96",3670
"97",3874
"98",3672
"99",3902
"100",3903
"101",3904
"102",3905
"103",4286
"104",1333
"105",1597
"106",2811
"107",1616
"108",1617
"109",1618
"110",1619
"111",1621
"112",2740
"113",2760
"114",3635
"115",2763
"116",2749
"117",2750
"118",2810
"119",3642
"120",3643
"121",3906
"122",4513
"123",4440
"124",3907
"125",1353
"126",2751
"127",2752
"128",2753
"129",2754
"130",2756
"131",2757
"132",2758
"133",2759
"134",3992
"135",3993
"136",3994
"137",3656
"138",3909
"139",3881
"140",4284
"141",4285
"142",3883
"143",3884
"144",3879
"145",3962
"146",3963
"147",3964
"148",3965
"149",3966
"150",4287
"151",4288
"152",3967
"153",3968
"154",3971
"155",3972
"156",3974
"157",3975
"158",3976
"159",4347
"160",4348
"161",4349
"162",4350
"163",4351
"164",4352
"165",4354
"166",4355
"167",4356
"168",4357
"169",4458
"170",4358
"171",4359
"172",4360
"173",4361
"174",4363
"175",4364
"176",4365
"177",4366
"178",4367
"179",4370
"180",4372
"181",4375
"182",4376
"183",4377
"184",4378
"185",4661
"186",4381
"187",4382
"188",4383
"189",4391
"190",4392
"191",4393
"192",2755
"193",4484
"194",4520
"195",4431
"196",4432
"197",4439
"198",4442
"199",4444
"200",4449
"201",4455
"202",4456
"203",4459
"204",4460
"205",4461
"206",4473
"207",4475
"208",4481
"209",4489
"210",4490
"211",4493
"212",4495
"213",4496
"214",4497
"215",4498
"216",4499
"217",4503
"218",4505
"219",4514
"220",4516
"221",4517
"222",4529
"223",4550
"224",4551
"225",4552
"226",4553
"227",4554
"228",4555
"229",4556
"230",4557
"231",4558
"232",4559
"233",4560
"234",4561
"235",4562
"236",4563
"237",4564
"238",4565
"239",4566
"240",4567
"241",4568
"242",4525
"243",4526
"244",4527
"245",4528
"246",4569
"247",4570
"248",4571
"249",4572
"250",4573
"251",4574
"252",4575
"253",4576
"254",4577
"255",4578
"256",4579
"257",4580
"258",4581
"259",4582
"260",4583
"261",4584
"262",4585
"263",4586
"264",4587
"265",4437
"266",4589
"267",4590
"268",4591
"269",4592
"270",1592
"271",4594
"272",4595
"273",4596
"274",4597
"275",4598
"276",4599
"277",4600
"278",4601
"279",4602
"280",4603
"281",4604
"282",4605
"283",4606
"284",4607
"285",4608
"286",4609
"287",4610
"288",4611
"289",4612
"290",4613
"291",4615
"292",4616
"293",4433
"294",4469
"295",4445
"296",4446
"297",4443
"298",4447
"299",4448
"300",4457
"301",4476
"302",4482
"303",4486
"304",4487
"305",4488
"306",4492
"307",4504
"308",4501
"309",4502
"310",4483
"311",4507
"312",4617
"313",4435
"314",4619
"315",4620
"316",4621
"317",4622
"318",4623
"319",4624
"320",4625
"321",4626
"322",4628
"323",4629
"324",4630
"325",4631
"326",4634
"327",4636
"328",4637
"329",4639
"330",4640
"331",4641
"332",4653
"333",4643
"334",4644
"335",4645
"336",4646
"337",4647
"338",4651
"339",4652
"340",1522
"341",4654
"342",4494
"343",4657
"344",4658
"345",4665
"346",4666
"347",4667
"348",4668
"349",4669
"350",4670
"351",4671
"352",4672
"353",4673
"354",4674
"355",4675
"356",4676
"357",4678
"358",4679
"359",4680
"360",4682
"361",4683
"362",4685
"363",4686
"364",4687
"365",4688
"366",4689
"367",4692
"368",4693
