"pallet","code","number","ctr","ordernr"
"3",1621,5,"MNBU 3523204",50919
"12",4358,3,"MNBU 3523204",50919
"4",4358,6,"SUDU 8086400",50921
"6",1621,9,"MNBU 4163041",50922
"7",1338,4,"MNBU0172528",51036
"15",4691,10,"TLLU 1226597",51232
"17",4691,7,"TLLU 1226597",51232
"2",3893,20,"SUDU 5192435",51233
"5",1621,15,"SUDU 5192435",51233
"10",4433,27,"SUDU 5192435",51233
"TL11",4433,10,"SUDU 5192435",51233
"12",4599,5,"SUDU 5192435",51233
"TL12",4433,6,"SUDU 5192435",51233
"13",4433,3,"SUDU 5192435",51233
"19",1338,7,"SUDU 5192435",51233
"6",1621,4,"TCLU 1293323",50576
"TL10",3994,14,"TCLU 1293323",50576
"TL11",4626,6,"TCLU 1293323",50576
"12",3994,6,"TCLU 1293323",50576
"12",1621,12,"TCLU 1293323",50576
"12",4625,4,"TCLU 1293323",50576
"TL12",4456,19,"TCLU 1293323",50576
"13",3875,16,"TCLU 1293323",50576
"13",4456,12,"TCLU 1293323",50576
"13",3897,2,"TCLU 1293323",50576
"20",4433,17,"TCLU 1293323",50576
"20",4610,17,"TCLU 1293323",50576
"2",3909,3,"HLBU 9020086",51238
"2",3994,4,"HLBU 9020086",51238
"2",3656,3,"HLBU 9020086",51238
"15",4600,2,"HLBU 9020086",51238
"3",3656,4,"GESU 9483244",51279
"4",3994,10,"GESU 9483244",51279
"4",3909,7,"GESU 9483244",51279
"16",4600,3,"GESU 9483244",51279
"1",4455,16,"MMAU 1042520",51373
"10",4691,1,"MMAU 1042520",51373
"20",4601,4,"MMAU 1042520",51373
"20",1350,7,"MMAU 1042520",51373
"1",4455,7,"MMAU 1099206",51384
"2",4455,5,"MMAU 1099206",51384
"8",4691,1,"MMAU 1099206",51384
"8",4553,7,"MMAU 1099206",51384
"15",4553,7,"MMAU 1099206",51384
"18",1350,10,"MMAU 1099206",51384
"18",4601,20,"MMAU 1099206",51384
"19",4350,14,"MMAU 1099206",51384
"18",4506,7,"MCAU 8562170",51235
