"pallet","code","number","ordernr"
"3",1621,5,50919
"12",4358,3,50919
"4",4358,6,50921
"6",1621,9,50922
"7",1338,4,51036
"15",4691,10,51232
"17",4691,7,51232
"2",3893,20,51233
"5",1621,15,51233
"10",4433,27,51233
"TL11",4433,10,51233
"12",4599,5,51233
"TL12",4433,6,51233
"13",4433,3,51233
"19",1338,7,51233
"6",1621,4,50576
"TL10",3994,14,50576
"TL11",4626,6,50576
"12",3994,6,50576
"12",1621,12,50576
"12",4625,4,50576
"TL12",4456,19,50576
"13",3875,16,50576
"13",4456,12,50576
"13",3897,2,50576
"20",4433,17,50576
"20",4610,17,50576
"2",3909,3,51238
"2",3994,4,51238
"2",3656,3,51238
"15",4600,2,51238
"3",3656,4,51279
"4",3994,10,51279
"4",3909,7,51279
"16",4600,3,51279
"1",4455,16,51373
"10",4691,1,51373
"20",4601,4,51373
"20",1350,7,51373
"1",4455,7,51384
"2",4455,5,51384
"8",4691,1,51384
"8",4553,7,51384
"15",4553,7,51384
"18",1350,10,51384
"18",4601,20,51384
"19",4350,14,51384
"18",4506,7,51235
